,Latitude,Longitude,City,Country,Major_Geo_Region,ISO3,LCD_grouping,WHO_region,HDI_level,Koppen_climate_region,Peak_NDVI_2015,PopWeight_Peak_NDVI_2015,Greenness_Level_2015,Peak_NDVI_2020,PopWeight_Peak_NDVI_2020,Greenness_Level_2020,Peak_NDVI_2021,PopWeight_Peak_NDVI_2021,Greenness_Level_2021,Peak_NDVI_2022,PopWeight_Peak_NDVI_2022,Greenness_Level_2022,Peak_NDVI_2023,PopWeight_Peak_NDVI_2023,Greenness_Level_2023
857,26.71422079,88.40996036,Siliguri,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.391632731,0.391701468,Low,0.442946379,0.443044053,Moderate,0.459062141,0.458961127,Moderate,0.425748782,0.426960332,Moderate,0.455082887,0.459312909,Moderate
858,39.94649505,32.6107513,Sincan,Turkey,Asia,TUR,Asia,Europe,Very High,Arid,0.308461208,0.327585024,Low,0.267179649,0.276248738,Very Low,0.268914117,0.27087908,Very Low,0.24395163,0.2387409,Very Low,0.254449739,0.256733213,Very Low
859,1.391134069,103.8850508,Singapore,Singapore,Asia,SGP,SIDS,Western Pacific,Very High,Tropical,0.298555124,0.305900093,Low,0.355885768,0.359708964,Low,0.320758526,0.316383157,Low,0.315400292,0.318317185,Low,0.320758526,0.302197188,Low
860,24.41254333,89.64289183,Sirajganj,Bangladesh,Asia,BGD,Asia,South-East Asia,Medium,Temperate,0.509250587,0.508543633,High,0.565051754,0.565234837,High,0.504834974,0.499196253,Moderate,0.505738511,0.500912025,High,0.504834974,0.533658854,High
861,26.58247314,85.51086184,Sitamarhi,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.502041898,0.499705061,Moderate,0.376654469,0.378321254,Low,0.420522542,0.416046547,Moderate,0.547679061,0.544577162,High,0.427207597,0.517411313,High
862,27.56193995,80.68981646,Sitapur,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.468243575,0.469420796,Moderate,0.367069315,0.367712953,Low,0.370809434,0.371791102,Low,0.467645189,0.467416377,Moderate,0.370809434,0.413838226,Moderate
863,42.00571799,21.42962887,Skopje,Macedonia,Europe,MKD,Europe,Europe,High,Arid,0.383947668,0.377073895,Low,0.388387751,0.383687693,Low,0.359867611,0.360807778,Low,0.40169209,0.397116116,Low,0.389614261,0.387887522,Low
864,42.68535839,23.32534196,Sofia,Bulgaria,Europe,BGR,Europe,Europe,High,Continental,0.438927465,0.439209516,Moderate,0.452868027,0.452669429,Moderate,0.410199936,0.410188639,Moderate,0.449124055,0.448806844,Moderate,0.434336601,0.434096493,Moderate
865,26.56737449,31.69015357,Sohag,Egypt,Africa,EGY,Africa,Eastern Mediterranean,High,Arid,0.475510884,0.407236707,Moderate,0.499207021,0.425763452,Moderate,0.497422666,0.423627816,Moderate,0.490765584,0.418165731,Moderate,0.486847883,0.413691118,Moderate
866,13.04228404,5.239694734,Sokoto,Nigeria,Africa,NGA,Africa,Africa,Low,Arid,0.239972185,0.226013345,Very Low,0.295538327,0.288947193,Very Low,0.265032651,0.252627722,Very Low,0.303096455,0.303318563,Low,0.265032651,0.242956634,Very Low
867,17.65555096,75.92080282,Solapur,India,Asia,IND,Asia,South-East Asia,Medium,Arid,0.281111837,0.283282691,Very Low,0.340264304,0.333116911,Low,0.329836248,0.323282847,Low,0.343715254,0.336955309,Low,0.320116516,0.328549994,Low
868,-23.49704058,-47.46857462,Sorocaba,Brazil,Latin America and the Caribbean,BRA,South and Central America,Americas,High,Temperate,0.364588235,0.31854504,Low,0.365573391,0.32204002,Low,0.361183284,0.314991056,Low,0.355557253,0.31239791,Low,0.363837941,0.319148693,Low
869,34.09819585,74.81931643,Srinagar,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.401336187,0.435754431,Moderate,0.407463913,0.444401115,Moderate,0.404271672,0.447092636,Moderate,0.392424353,0.438586484,Moderate,0.384933518,0.416444401,Moderate
870,38.64866335,-90.29516847,St. Louis,United States,Northern America,USA,Northern America,Americas,Very High,Continental,0.490711823,0.504613384,High,0.49347389,0.507694652,High,0.479057339,0.494436755,Moderate,0.493444689,0.505179268,High,0.475240956,0.487591596,Moderate
871,59.33157275,18.00055029,Stockholm,Sweden,Europe,SWE,Europe,Europe,Very High,Continental,0.449482115,0.394762334,Low,0.45014027,0.40460181,Moderate,0.439382103,0.393562798,Low,0.45142201,0.405059728,Moderate,0.413611073,0.370845552,Low
872,48.80670604,9.202667574,Stuttgart,Germany,Europe,DEU,Europe,Europe,Very High,Temperate,0.4881359,0.492964036,Moderate,0.502037949,0.505089802,High,0.531635998,0.532571814,High,0.488690129,0.493798004,Moderate,0.49992821,0.505250659,High
873,35.56129689,45.42170215,Sulaymaniyah,Iraq,Asia,IRQ,Asia,Eastern Mediterranean,Medium,Temperate,0.191863505,0.190593098,Exceptionally Low,0.161761654,0.16063344,Exceptionally Low,0.149032813,0.148793434,Exceptionally Low,0.170537871,0.170034296,Exceptionally Low,0.195682716,0.195030531,Exceptionally Low
874,26.25293047,82.06833047,Sultanpur,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.356809877,0.352803599,Low,0.50745965,0.504222694,High,0.364534105,0.363198567,Low,0.368399105,0.366902841,Low,0.364534105,0.410902902,Moderate
875,-7.026723937,113.8884819,Sumenep,Indonesia,Asia,IDN,Asia,South-East Asia,High,Tropical,0.387808706,0.396535019,Low,0.423429636,0.434959353,Moderate,0.36439341,0.374229765,Low,0.406698038,0.417777626,Moderate,0.387332144,0.397727203,Low
876,-7.628561821,112.6697063,Surabaya,Indonesia,Asia,IDN,Asia,South-East Asia,High,Tropical,0.448633103,0.354012299,Low,0.433798301,0.332007446,Low,0.413031499,0.320167473,Low,0.41936791,0.330113883,Low,0.43438209,0.340678712,Low
877,21.1772905,72.75651687,Surat,India,Asia,IND,Asia,South-East Asia,Medium,Tropical,0.263306551,0.297996066,Very Low,0.329177081,0.384156926,Low,0.27900242,0.312228147,Low,0.244874375,0.278827625,Very Low,0.269393748,0.229751412,Very Low
